,chi_squared,random_forest_importance,gain_ratio,information_gain,oneR,symmetrical_uncertainty
V4,0,0.182079754286402,0,0,0.258198498748958,0
V5,0,0.20837202253067,0,0,0.258198498748958,0
V6,0,1.19106829830472,0,0,0.258198498748958,0
V7,0,-0.969016562736176,0,0,0.258198498748958,0
V8,0,-1.05334842158262,0,0,0.258198498748958,0
V9,0,0,0,0,0.258198498748958,0
V10,0,0.473944199621559,0,0,0.258198498748958,0
V11,0,2.5653425684362,0,0,0.258198498748958,0
V12,0,0.241458752058753,0,0,0.258198498748958,0
V13,0,-0.580227095720077,0,0,0.258198498748958,0
V14,0,0.463316853713054,0,0,0.258198498748958,0
V15,0,1.61888690306322,0,0,0.258198498748958,0
V16,0,2.23051903835876,0,0,0.258198498748958,0
V17,0,0,0,0,0.258198498748958,0
V18,0,2.25265899761912,0,0,0.258198498748958,0
V19,0,-0.688899586402643,0,0,0.258198498748958,0
V20,0,6.09888877025932,0,0,0.258198498748958,0
V21,0,1.34238031810576,0,0,0.258198498748958,0
V22,0,1.46480002060947,0,0,0.258198498748958,0
V23,0,-1.75703364660597,0,0,0.258198498748958,0
V24,0,1.02955846295756,0,0,0.258198498748958,0
V25,0,2.68787573706078,0,0,0.258198498748958,0
V26,0,2.77014810993257,0,0,0.258198498748958,0
V27,0,0.196852286297238,0,0,0.258198498748958,0
V28,0,1.75518255220296,0,0,0.258198498748958,0
V29,0,3.21078658732827,0,0,0.258198498748958,0
V30,0,4.51031811157325,0,0,0.258198498748958,0
V31,0,4.14766530544086,0,0,0.258198498748958,0
V32,0,3.41556758132576,0,0,0.258198498748958,0
V33,0,1.84380917253964,0,0,0.258198498748958,0
V34,0,2.91255913709921,0,0,0.258198498748958,0
V35,0,-0.303421395814697,0,0,0.258198498748958,0
V36,0,-0.793487059949247,0,0,0.258198498748958,0
V37,0.109677978140626,1.03078971078225,0.018573860617295,0.008670700153098,0.235919552243512,0.024115030961131
V38,0,1.60615299226977,0,0,0.258198498748958,0
V39,0,-1.20591329643117,0,0,0.258198498748958,0
V40,0,-0.444755715913318,0,0,0.258198498748958,0
V41,0,1.18884811037479,0,0,0.258198498748958,0
V42,0,5.24904251925537,0,0,0.258198498748958,0
V43,0,0.183039824546159,0,0,0.258198498748958,0
V44,0,0,0,0,0.258198498748958,0
V45,0,1.59591199683028,0,0,0.258198498748958,0
V46,0,0.134292527438247,0,0,0.258198498748958,0
V47,0,1.85464361722104,0,0,0.258198498748958,0
V48,0,1.48160247184659,0,0,0.258198498748958,0
V49,0,-0.88915233163082,0,0,0.258198498748958,0
V50,0,-0.283930242803741,0,0,0.258198498748958,0
V51,0,0,0,0,0.258198498748958,0
V52,0,1.55228029056769,0,0,0.258198498748958,0
V53,0,0.141240373622556,0,0,0.258198498748958,0
V54,0,0,0,0,0.258198498748958,0
V55,0,0.682241557997466,0,0,0.258198498748958,0
V56,0,1.45933390102815,0,0,0.258198498748958,0
V57,0,2.89023223193674,0,0,0.258198498748958,0
V58,0,0.794635058061824,0,0,0.258198498748958,0
V59,0,1.79480772862454,0,0,0.258198498748958,0
V60,0,2.33792794915724,0,0,0.258198498748958,0
V61,0.199920973210461,8.30948199506536,0.031826277417893,0.016465165186813,0.117295004949511,0.042787003631224
V62,0,1.54379036481663,0,0,0.258198498748958,0
V63,0,2.6041610054525,0,0,0.258198498748958,0
V64,0,3.13800086910048,0,0,0.258198498748958,0
V65,0,3.00629821083903,0,0,0.258198498748958,0
V66,0,8.30465839707278,0,0,0.258198498748958,0
V67,0,5.24007827762858,0,0,0.258198498748958,0
V68,0,2.29219676594959,0,0,0.258198498748958,0
V69,0,4.23999135625523,0,0,0.258198498748958,0
V70,0,0.039686181091463,0,0,0.258198498748958,0
V71,0,0,0,0,0.258198498748958,0
V72,0,1.84139895811984,0,0,0.258198498748958,0
V73,0,-0.116193021277186,0,0,0.258198498748958,0
V74,0,0,0,0,0.258198498748958,0
V75,0,1.6506144138213,0,0,0.258198498748958,0
V76,0,0.864539526992796,0,0,0.258198498748958,0
V77,0,0.969216477518448,0,0,0.258198498748958,0
V78,0,3.02667530661635,0,0,0.258198498748958,0
V79,0,2.89393423788215,0,0,0.258198498748958,0
V80,0,1.23710042801996,0,0,0.258198498748958,0
V81,0,1.50289152119045,0,0,0.258198498748958,0
V82,0,0.192794733897783,0,0,0.258198498748958,0
V83,0,1.0905843225408,0,0,0.258198498748958,0
V84,0,0.074493768041862,0,0,0.258198498748958,0
V85,0,-0.720691398955921,0,0,0.258198498748958,0
V86,0,-0.520071044415416,0,0,0.258198498748958,0
V87,0,1.04537844369466,0,0,0.258198498748958,0
V88,0,0.824928835039623,0,0,0.258198498748958,0
V89,0,-0.234205292354178,0,0,0.258198498748958,0
V90,0,0.62088892986707,0,0,0.258198498748958,0
V91,0,-0.293323372065656,0,0,0.258198498748958,0
V92,0,0.135228901620855,0,0,0.258198498748958,0
V93,0,0.847263140314377,0,0,0.258198498748958,0
V94,0,0,0,0,0.258198498748958,0
V95,0,0.223953381131555,0,0,0.258198498748958,0
V96,0,0.234266253839476,0,0,0.258198498748958,0
V97,0,1.44928379248211,0,0,0.258198498748958,0
V98,0,0.944669526202038,0,0,0.258198498748958,0
V99,0,1.3265996072167,0,0,0.258198498748958,0
V100,0.206665229042946,6.45298895606649,0.038505638984238,0.016146283828237,0.084573865146579,0.048082211357498
V101,0,-0.418324594413606,0,0,0.258198498748958,0
V102,0,1.19421086459607,0,0,0.258198498748958,0
V103,0,0.560666077057617,0,0,0.258198498748958,0
V104,0,-1.82434583734881,0,0,0.258198498748958,0
V105,0,-0.370651522632246,0,0,0.258198498748958,0
V106,0,1.05626011359833,0,0,0.258198498748958,0
V107,0,1.88301853418105,0,0,0.258198498748958,0
V108,0,0.267438009963287,0,0,0.258198498748958,0
V109,0,-1.29747080903346,0,0,0.258198498748958,0
V110,0,-1.22429046433391,0,0,0.258198498748958,0
V111,0,-0.223331775691874,0,0,0.258198498748958,0
V112,0,0.602305200984786,0,0,0.258198498748958,0
V113,0,0.256801229969655,0,0,0.258198498748958,0
V114,0,6.40670195478372,0,0,0.258198498748958,0
V115,0,0.070245287179159,0,0,0.258198498748958,0
V116,0,2.19559852260076,0,0,0.258198498748958,0
V117,0,4.61210697249765,0,0,0.258198498748958,0
V118,0,-0.664038417106612,0,0,0.258198498748958,0
V119,0,-0.292321433152446,0,0,0.258198498748958,0
V120,0,1.31793362361233,0,0,0.258198498748958,0
V121,0,-1.68919975525636,0,0,0.258198498748958,0
V122,0,0.505609033797817,0,0,0.258198498748958,0
V123,0.123047433733826,-0.402386773986625,0.024204990929784,0.011689954360949,0.238750735665214,0.031798786358476
V124,0,1.66055551035867,0,0,0.258198498748958,0
V125,0,4.93962671681542,0,0,0.258198498748958,0
V126,0,-0.052384664427145,0,0,0.258198498748958,0
V127,0,-2.47930908973965,0,0,0.258198498748958,0
V128,0,-2.05528887089569,0,0,0.258198498748958,0
V129,0,0.905989272048946,0,0,0.258198498748958,0
V130,0,1.79547494678976,0,0,0.258198498748958,0
V131,0,-0.354335220859682,0,0,0.258198498748958,0
V132,0,0.411050180399229,0,0,0.258198498748958,0
V133,0,0.431495106163114,0,0,0.258198498748958,0
V134,0,0,0,0,0.258198498748958,0
V135,0,-0.274131104989152,0,0,0.258198498748958,0
V136,0,0.382938452813373,0,0,0.258198498748958,0
V137,0,1.14863407279122,0,0,0.258198498748958,0
V138,0,2.42957844694363,0,0,0.258198498748958,0
V139,0,-0.365577936282822,0,0,0.258198498748958,0
V140,0,2.16012593130732,0,0,0.258198498748958,0
V141,0,1.19885423048499,0,0,0.258198498748958,0
V142,0,0,0,0,0.258198498748958,0
V143,0,0.159585661020376,0,0,0.258198498748958,0
V144,0,-0.37980884341111,0,0,0.258198498748958,0
V145,0,2.90787717491863,0,0,0.258198498748958,0
V146,0,6.08346566043199,0,0,0.258198498748958,0
V147,0,0.805797281439005,0,0,0.258198498748958,0
V148,0,0.939075475546207,0,0,0.258198498748958,0
V149,0,0.621252617531602,0,0,0.258198498748958,0
V150,0,1.87881869943987,0,0,0.258198498748958,0
V151,0,1.60763148046089,0,0,0.258198498748958,0
V152,0,-0.54248411054469,0,0,0.258198498748958,0
V153,0,1.13375542784055,0,0,0.258198498748958,0
V154,0,2.52384789251505,0,0,0.258198498748958,0
V155,0,2.44181415928985,0,0,0.258198498748958,0
V156,0,2.57009668895041,0,0,0.258198498748958,0
V157,0,1.85864219553651,0,0,0.258198498748958,0
V158,0,0.432397242467189,0,0,0.258198498748958,0
V159,0,0.468699513881784,0,0,0.258198498748958,0
V160,0,4.07069043288347,0,0,0.258198498748958,0
V161,0,2.78457685524371,0,0,0.258198498748958,0
V162,0,-0.183345082712832,0,0,0.258198498748958,0
V163,0,1.25340833237942,0,0,0.258198498748958,0
V164,0,1.58954641810139,0,0,0.258198498748958,0
V165,0,1.80568818340099,0,0,0.258198498748958,0
V166,0,1.54709182175177,0,0,0.258198498748958,0
V167,0,-0.169466217897733,0,0,0.258198498748958,0
V168,0,0.897295063223768,0,0,0.258198498748958,0
V169,0,0,0,0,0.258198498748958,0
V170,0,1.70963242170072,0,0,0.258198498748958,0
V171,0,-0.636135336892441,0,0,0.258198498748958,0
V172,0,1.9969530498855,0,0,0.258198498748958,0
V173,0,1.66043295064479,0,0,0.258198498748958,0
V174,0,0.542246507025958,0,0,0.258198498748958,0
V175,0,-0.025077195564068,0,0,0.258198498748958,0
V176,0,0,0,0,0.258198498748958,0
V177,0,0.955217741274735,0,0,0.258198498748958,0
V178,0,0.323004982860839,0,0,0.258198498748958,0
V179,0,0,0,0,0.258198498748958,0
V180,0,0,0,0,0.258198498748958,0
V181,0,0,0,0,0.258198498748958,0
V182,0,0,0,0,0.258198498748958,0
V183,0,0,0,0,0.258198498748958,0
V184,0,0,0,0,0.258198498748958,0
V185,0,2.53805520546696,0,0,0.258198498748958,0
V186,0,1.13688484237947,0,0,0.258198498748958,0
V187,0,1.94337821687108,0,0,0.258198498748958,0
V188,0,-0.00511698526035,0,0,0.258198498748958,0
V189,0,1.90701420367039,0,0,0.258198498748958,0
V190,0,2.46653337330937,0,0,0.258198498748958,0
V191,0,1.66600321421169,0,0,0.258198498748958,0
V192,0,2.21623583191112,0,0,0.258198498748958,0
V193,0,4.41035119583673,0,0,0.258198498748958,0
V194,0,2.38932476400904,0,0,0.258198498748958,0
V195,0.163859183455977,3.86814283398398,0.031869072749363,0.009653182639428,0.069478908188586,0.034774324931273
V196,0,0,0,0,0.258198498748958,0
V197,0,1.14283784642182,0,0,0.258198498748958,0
V198,0,0.77226663970009,0,0,0.258198498748958,0
V199,0,0,0,0,0.258198498748958,0
V200,0,3.04397014151488,0,0,0.258198498748958,0
V201,0,-0.155103257002602,0,0,0.258198498748958,0
V202,0,-0.043585702328785,0,0,0.258198498748958,0
V203,0,1.24143984588307,0,0,0.258198498748958,0
V204,0,-1.1105944654614,0,0,0.258198498748958,0
V205,0,-1.46599089951432,0,0,0.258198498748958,0
V206,0,0.596231701837924,0,0,0.258198498748958,0
V207,0,-0.630318098446326,0,0,0.258198498748958,0
V208,0,0.936944605022168,0,0,0.258198498748958,0
V209,0,-1.29935000440423,0,0,0.258198498748958,0
V210,0,-0.059198737037243,0,0,0.258198498748958,0
V211,0,0.187574877259901,0,0,0.258198498748958,0
V212,0,-1.53762961765291,0,0,0.258198498748958,0
V213,0,0,0,0,0.258198498748958,0
V214,0,0.800553651511443,0,0,0.258198498748958,0
V215,0,-1.21220744198413,0,0,0.258198498748958,0
V216,0,0,0,0,0.258198498748958,0
V217,0,0,0,0,0.258198498748958,0
V218,0,0,0,0,0.258198498748958,0
V219,0,0,0,0,0.258198498748958,0
V220,0,0,0,0,0.258198498748958,0
V221,0,0,0,0,0.258198498748958,0
V222,0,0,0,0,0.258198498748958,0
V223,0,0,0,0,0.258198498748958,0
V224,0,0,0,0,0.258198498748958,0
V225,0,0.677610682301454,0,0,0.258198498748958,0
V226,0,2.1224574706154,0,0,0.258198498748958,0
V227,0,0,0,0,0.258198498748958,0
V228,0,0,0,0,0.258198498748958,0
V229,0,0,0,0,0.258198498748958,0
V230,0,0,0,0,0.258198498748958,0
V231,0,2.06758110631772,0,0,0.258198498748958,0
V232,0,2.96917921392644,0,0,0.258198498748958,0
V233,0,-1.48414501732249,0,0,0.258198498748958,0
V234,0,0.63641313642997,0,0,0.258198498748958,0
V235,0,-1.70100192824123,0,0,0.258198498748958,0
V236,0,0.173262310369416,0,0,0.258198498748958,0
V237,0,0.878126434603696,0,0,0.258198498748958,0
V238,0,1.44642584606022,0,0,0.258198498748958,0
V239,0,0,0,0,0.258198498748958,0
V240,0,0,0,0,0.258198498748958,0
V241,0,0,0,0,0.258198498748958,0
V242,0,0,0,0,0.258198498748958,0
V243,0,0,0,0,0.258198498748958,0
V244,0,0,0,0,0.258198498748958,0
V245,0,0,0,0,0.258198498748958,0
V246,0,0,0,0,0.258198498748958,0
V247,0,0,0,0,0.258198498748958,0
V248,0,0,0,0,0.258198498748958,0
V249,0,0,0,0,0.258198498748958,0
V250,0,4.42247889078345,0,0,0.258198498748958,0
V251,0,0.772271942948829,0,0,0.258198498748958,0
V252,0,1.29255219739109,0,0,0.258198498748958,0
V253,0,-0.761856198749619,0,0,0.258198498748958,0
V254,0,0.570556019239214,0,0,0.258198498748958,0
V255,0,0.58952921233358,0,0,0.258198498748958,0
V256,0,2.70653587284059,0,0,0.258198498748958,0
V257,0,0.790316861201499,0,0,0.258198498748958,0
V258,0,2.02755481705236,0,0,0.258198498748958,0
V259,0,0,0,0,0.258198498748958,0
V260,0,0.871360385366496,0,0,0.258198498748958,0
V261,0,0.619509681480148,0,0,0.258198498748958,0
V262,0,0.421997384390773,0,0,0.258198498748958,0
V263,0,1.18737150138901,0,0,0.258198498748958,0
V264,0,-1.05318235909548,0,0,0.258198498748958,0
V265,0,1.1491878118556,0,0,0.258198498748958,0
V266,0,1.68504695130332,0,0,0.258198498748958,0
V267,0,0,0,0,0.258198498748958,0
V268,0,0.291156842378525,0,0,0.258198498748958,0
V269,0,0.017307078395114,0,0,0.258198498748958,0
V270,0,3.40430541543771,0,0,0.258198498748958,0
V271,0,5.48194771184452,0,0,0.258198498748958,0
V272,0,-0.197417769479569,0,0,0.258198498748958,0
V273,0,-0.762268015699354,0,0,0.258198498748958,0
V274,0,1.49397725308319,0,0,0.258198498748958,0
V275,0,2.94245285582073,0,0,0.258198498748958,0
V276,0,1.55728431929172,0,0,0.258198498748958,0
V277,0,-1.38191944008218,0,0,0.258198498748958,0
V278,0,0.579232931685593,0,0,0.258198498748958,0
V279,0,3.32188686519748,0,0,0.258198498748958,0
V280,0,1.49415080441588,0,0,0.258198498748958,0
V281,0,1.39078454244369,0,0,0.258198498748958,0
V282,0,3.03870704035999,0,0,0.258198498748958,0
V283,0,-0.727969340020324,0,0,0.258198498748958,0
V284,0,2.52482130692185,0,0,0.258198498748958,0
V285,0,2.22871432550143,0,0,0.258198498748958,0
V286,0,-0.061717270705271,0,0,0.258198498748958,0
V287,0,-0.022531344243047,0,0,0.258198498748958,0
V288,0,1.329174107607,0,0,0.258198498748958,0
V289,0,-0.722535528278686,0,0,0.258198498748958,0
V290,0,1.68743055388493,0,0,0.258198498748958,0
V291,0,-0.972845099849314,0,0,0.258198498748958,0
V292,0,-1.04282509114088,0,0,0.258198498748958,0
V293,0,1.07376100530408,0,0,0.258198498748958,0
V294,0,0,0,0,0.258198498748958,0
V295,0,3.05164759765713,0,0,0.258198498748958,0
V296,0,0.201708311721896,0,0,0.258198498748958,0
V297,0,1.05080003180061,0,0,0.258198498748958,0
V298,0,3.26316765417398,0,0,0.258198498748958,0
V299,0,2.02384872559628,0,0,0.258198498748958,0
V300,0,-0.991512486376358,0,0,0.258198498748958,0
V301,0,0,0,0,0.258198498748958,0
V302,0,2.84645627573258,0,0,0.258198498748958,0
V303,0,0.706009428431641,0,0,0.258198498748958,0
V304,0,0,0,0,0.258198498748958,0
V305,0,0,0,0,0.258198498748958,0
V306,0,0,0,0,0.258198498748958,0
V307,0,0,0,0,0.258198498748958,0
V308,0,0,0,0,0.258198498748958,0
V309,0,0,0,0,0.258198498748958,0
V310,0,3.25976716681084,0,0,0.258198498748958,0
V311,0,2.70463202893108,0,0,0.258198498748958,0
V312,0,3.11267876765403,0,0,0.258198498748958,0
V313,0,1.87104705853452,0,0,0.258198498748958,0
V314,0,2.23808877452671,0,0,0.258198498748958,0
V315,0,1.62223449421703,0,0,0.258198498748958,0
V316,0,1.53801571117875,0,0,0.258198498748958,0
V317,0,0.696191492313767,0,0,0.258198498748958,0
V318,0,3.0544407437213,0,0,0.258198498748958,0
V319,0,1.96359524388079,0,0,0.258198498748958,0
V320,0,5.15213099121645,0,0,0.258198498748958,0
V321,0,0,0,0,0.258198498748958,0
V322,0,2.27204053429186,0,0,0.258198498748958,0
V323,0,0.201007090346267,0,0,0.258198498748958,0
V324,0,0,0,0,0.258198498748958,0
V325,0.163588666645491,2.56667192386266,0.027166052059559,0.010186060201304,0.093853044331311,0.032478758146925
V326,0,-0.296310963435965,0,0,0.258198498748958,0
V327,0,-1.52544638724687,0,0,0.258198498748958,0
V328,0,-0.041834156707081,0,0,0.258198498748958,0
V329,0,1.48324573740726,0,0,0.258198498748958,0
V330,0,0.010898510573336,0,0,0.258198498748958,0
V331,0,-0.497432348342386,0,0,0.258198498748958,0
V332,0,0.33332394997909,0,0,0.258198498748958,0
V333,0,-1.71639547366016,0,0,0.258198498748958,0
V334,0,-1.08444615167728,0,0,0.258198498748958,0
V335,0,1.02110226095885,0,0,0.258198498748958,0
V336,0,-0.83572558367748,0,0,0.258198498748958,0
V337,0,0.032183919467477,0,0,0.258198498748958,0
V338,0,0,0,0,0.258198498748958,0
V339,0,0.758556932338202,0,0,0.258198498748958,0
V340,0,0.099479363284692,0,0,0.258198498748958,0
V341,0,-0.765228085906119,0,0,0.258198498748958,0
V342,0,-0.42806393587001,0,0,0.258198498748958,0
V343,0,0,0,0,0.258198498748958,0
V344,0,0,0,0,0.258198498748958,0
V345,0,0,0,0,0.258198498748958,0
V346,0,0,0,0,0.258198498748958,0
V347,0,0,0,0,0.258198498748958,0
V348,0,0,0,0,0.258198498748958,0
V349,0,0,0,0,0.258198498748958,0
V350,0,-0.743347747773015,0,0,0.258198498748958,0
V351,0,1.45287091650014,0,0,0.258198498748958,0
V352,0,0,0,0,0.258198498748958,0
V353,0,0,0,0,0.258198498748958,0
V354,0,0,0,0,0.258198498748958,0
V355,0,0,0,0,0.258198498748958,0
V356,0,0.828690989411505,0,0,0.258198498748958,0
V357,0,-0.095730114263166,0,0,0.258198498748958,0
V358,0,-0.563771473135971,0,0,0.258198498748958,0
V359,0,0.862341378859579,0,0,0.258198498748958,0
V360,0,0.567554990132264,0,0,0.258198498748958,0
V361,0,0.008654119292248,0,0,0.258198498748958,0
V362,0,0.501592829669154,0,0,0.258198498748958,0
V363,0,0.390316715426259,0,0,0.258198498748958,0
V364,0,0,0,0,0.258198498748958,0
V365,0,0,0,0,0.258198498748958,0
V366,0,0,0,0,0.258198498748958,0
V367,0,0,0,0,0.258198498748958,0
V368,0,0,0,0,0.258198498748958,0
V369,0,0,0,0,0.258198498748958,0
V370,0,0,0,0,0.258198498748958,0
V371,0,0,0,0,0.258198498748958,0
V372,0,0,0,0,0.258198498748958,0
V373,0,0,0,0,0.258198498748958,0
V374,0,0,0,0,0.258198498748958,0
V375,0,2.99413089609595,0,0,0.258198498748958,0
V376,0,5.03351856502131,0,0,0.258198498748958,0
V377,0,1.77201481806661,0,0,0.258198498748958,0
V378,0,0.51465784790182,0,0,0.258198498748958,0
V379,0,1.75003941355162,0,0,0.258198498748958,0
V380,0,-0.283380012549816,0,0,0.258198498748958,0
V381,0,0.927912059344062,0,0,0.258198498748958,0
V382,0,1.92531717036286,0,0,0.258198498748958,0
V383,0,0.609280452346514,0,0,0.258198498748958,0
V384,0,0,0,0,0.258198498748958,0
V385,0,1.94289691197278,0,0,0.258198498748958,0
V386,0,0.456509950904588,0,0,0.258198498748958,0
V387,0,1.07869817157547,0,0,0.258198498748958,0
V388,0,0.88830283684395,0,0,0.258198498748958,0
V389,0,-0.445522448384963,0,0,0.258198498748958,0
V390,0,1.86367968996592,0,0,0.258198498748958,0
V391,0,0.942356827727649,0,0,0.258198498748958,0
V392,0,0,0,0,0.258198498748958,0
V393,0,0.781043325320571,0,0,0.258198498748958,0
V394,0,1.36629687662469,0,0,0.258198498748958,0
V395,0,2.93661346433617,0,0,0.258198498748958,0
V396,0,6.05946022026067,0,0,0.258198498748958,0
V397,0,1.40674450609691,0,0,0.258198498748958,0
V398,0,1.28436975249075,0,0,0.258198498748958,0
V399,0,1.61422041788884,0,0,0.258198498748958,0
V400,0,3.3991754967439,0,0,0.258198498748958,0
V401,0,1.85616475669608,0,0,0.258198498748958,0
V402,0,1.16922092308176,0,0,0.258198498748958,0
V403,0,-0.480827374491055,0,0,0.258198498748958,0
V404,0,1.97155005108475,0,0,0.258198498748958,0
V405,0,3.32907029537768,0,0,0.258198498748958,0
V406,0,-0.186634735683464,0,0,0.258198498748958,0
V407,0,-0.889656368484437,0,0,0.258198498748958,0
V408,0,0.781539823607955,0,0,0.258198498748958,0
V409,0,2.51096290763574,0,0,0.258198498748958,0
V410,0,3.79336373545787,0,0,0.258198498748958,0
V411,0,7.95470427366043,0,0,0.258198498748958,0
V412,0,0.847553840965674,0,0,0.258198498748958,0
V413,0,1.67046158696988,0,0,0.258198498748958,0
V414,0,1.79442005835406,0,0,0.258198498748958,0
V415,0,0.797542567700497,0,0,0.258198498748958,0
V416,0,-0.329656170877426,0,0,0.258198498748958,0
V417,0,-0.798104034170225,0,0,0.258198498748958,0
V418,0,0.586599315988468,0,0,0.258198498748958,0
V419,0,0,0,0,0.258198498748958,0
V420,0,0.708813759150657,0,0,0.258198498748958,0
V421,0,1.79305859413673,0,0,0.258198498748958,0
V422,0,2.08317807192023,0,0,0.258198498748958,0
V423,0,2.83194211278716,0,0,0.258198498748958,0
V424,0,1.01165898386216,0,0,0.258198498748958,0
V425,0,0.486636708331951,0,0,0.258198498748958,0
V426,0,0,0,0,0.258198498748958,0
V427,0,1.68873975025873,0,0,0.258198498748958,0
V428,0,2.94692881089954,0,0,0.258198498748958,0
V429,0,0,0,0,0.258198498748958,0
V430,0,0,0,0,0.258198498748958,0
V431,0,0,0,0,0.258198498748958,0
V432,0,0,0,0,0.258198498748958,0
V433,0,0,0,0,0.258198498748958,0
V434,0,0,0,0,0.258198498748958,0
V435,0,1.9972712820145,0,0,0.258198498748958,0
V436,0,0.015065159657457,0,0,0.258198498748958,0
V437,0,1.34453946060696,0,0,0.258198498748958,0
V438,0,0.785106880789091,0,0,0.258198498748958,0
V439,0,2.64851123428039,0,0,0.258198498748958,0
V440,0,1.69992858953093,0,0,0.258198498748958,0
V441,0,1.45482281189372,0,0,0.258198498748958,0
V442,0,1.02549754853969,0,0,0.258198498748958,0
V443,0,3.11206520626192,0,0,0.258198498748958,0
V444,0,2.13258182458824,0,0,0.258198498748958,0
V445,0.160167412654367,3.94809198326051,0.025900675073729,0.009836482116155,0.097229545974976,0.031124857114345
V446,0,0,0,0,0.258198498748958,0
V447,0,1.47654250427384,0,0,0.258198498748958,0
V448,0,1.19952220855839,0,0,0.258198498748958,0
V449,0,0,0,0,0.258198498748958,0
V450,0,1.48332223583238,0,0,0.258198498748958,0
V451,0,1.14681790006211,0,0,0.258198498748958,0
V452,0,0.5381949950816,0,0,0.258198498748958,0
V453,0,-1.5278228772663,0,0,0.258198498748958,0
V454,0,1.11546926036222,0,0,0.258198498748958,0
V455,0,0.007259594163719,0,0,0.258198498748958,0
V456,0,0.401622339809598,0,0,0.258198498748958,0
V457,0,0.451428296641861,0,0,0.258198498748958,0
V458,0,1.32335651382938,0,0,0.258198498748958,0
V459,0,-0.7199139120919,0,0,0.258198498748958,0
V460,0,0.496700598733977,0,0,0.258198498748958,0
V461,0,0.282628833293477,0,0,0.258198498748958,0
V462,0,1.95013231412127,0,0,0.258198498748958,0
V463,0,0,0,0,0.258198498748958,0
V464,0,-1.1859712184227,0,0,0.258198498748958,0
V465,0,-1.80429603718459,0,0,0.258198498748958,0
V466,0,0,0,0,0.258198498748958,0
V467,0,0,0,0,0.258198498748958,0
V468,0,0,0,0,0.258198498748958,0
V469,0,0,0,0,0.258198498748958,0
V470,0,0,0,0,0.258198498748958,0
V471,0,0,0,0,0.258198498748958,0
V472,0,0,0,0,0.258198498748958,0
V473,0,0,0,0,0.258198498748958,0
V474,0,0,0,0,0.258198498748958,0
V475,0.168909561540009,5.33002299519112,0.023175623854902,0.011964643573087,0.128114349487386,0.031135677688175
V476,0,1.50793067340341,0,0,0.258198498748958,0
V477,0,0,0,0,0.258198498748958,0
V478,0,0,0,0,0.258198498748958,0
V479,0,0,0,0,0.258198498748958,0
V480,0,0,0,0,0.258198498748958,0
V481,0,3.34463989375129,0,0,0.258198498748958,0
V482,0,0.724871246159936,0,0,0.258198498748958,0
V483,0,-0.744278301726878,0,0,0.258198498748958,0
V484,0,0.479813734314165,0,0,0.258198498748958,0
V485,0,0.872029917638659,0,0,0.258198498748958,0
V486,0,0.730558913545947,0,0,0.258198498748958,0
V487,0,0.098084508557283,0,0,0.258198498748958,0
V488,0,2.00853269176223,0,0,0.258198498748958,0
V489,0,0,0,0,0.258198498748958,0
V490,0,0,0,0,0.258198498748958,0
V491,0,0,0,0,0.258198498748958,0
V492,0,0,0,0,0.258198498748958,0
V493,0,0,0,0,0.258198498748958,0
V494,0,0,0,0,0.258198498748958,0
V495,0,0,0,0,0.258198498748958,0
V496,0,0,0,0,0.258198498748958,0
V497,0,0,0,0,0.258198498748958,0
V498,0,0,0,0,0.258198498748958,0
V499,0,0,0,0,0.258198498748958,0
V500,0,3.95227238362772,0,0,0.258198498748958,0
V501,0,1.65359723665721,0,0,0.258198498748958,0
V502,0,2.11094696692364,0,0,0.258198498748958,0
V503,0,0.564559725359004,0,0,0.258198498748958,0
V504,0,1.92452334510218,0,0,0.258198498748958,0
V505,0,0.639898673495968,0,0,0.258198498748958,0
V506,0,1.37624170393828,0,0,0.258198498748958,0
V507,0,0.626515048378438,0,0,0.258198498748958,0
V508,0,-1.70046919474308,0,0,0.258198498748958,0
V509,0,-0.04135095998837,0,0,0.258198498748958,0
V510,0,1.18908929123244,0,0,0.258198498748958,0
V511,0,-0.532819636059126,0,0,0.258198498748958,0
V512,0,1.76335468347944,0,0,0.258198498748958,0
V513,0,0.996253191532438,0,0,0.258198498748958,0
V514,0,2.86447883165722,0,0,0.258198498748958,0
V515,0,5.11756017995791,0,0,0.258198498748958,0
V516,0,1.76529252243557,0,0,0.258198498748958,0
V517,0,0.343600359411612,0,0,0.258198498748958,0
V518,0,2.03382555888815,0,0,0.258198498748958,0
V519,0,1.27479441273911,0,0,0.258198498748958,0
V520,0,1.53075785126641,0,0,0.258198498748958,0
V521,0,-0.431785991010731,0,0,0.258198498748958,0
V522,0,1.05748271707188,0,0,0.258198498748958,0
V523,0,-0.482590945024159,0,0,0.258198498748958,0
V524,0,-0.16727657120345,0,0,0.258198498748958,0
V525,0,0.787919406785326,0,0,0.258198498748958,0
V526,0,-1.34624801582401,0,0,0.258198498748958,0
